date,product_id,product_name,category,quantity
2024-01-01,P001,Rice,Staples,46
2024-01-01,P002,Milk,Dairy,32
2024-01-01,P003,Biscuits,Packaged Foods,32
2024-01-01,P004,Cooking Oil,Cooking Essentials,22
2024-01-01,P005,Bread,Bakery,21
2024-01-01,P006,Soft Drinks,Beverages,25
2024-01-01,P007,Sweets,Confectionery,18
2024-01-01,P008,Snacks,Packaged Foods,31
2024-01-02,P001,Rice,Staples,45
2024-01-02,P002,Milk,Dairy,33
2024-01-02,P003,Biscuits,Packaged Foods,32
2024-01-02,P004,Cooking Oil,Cooking Essentials,21
2024-01-02,P005,Bread,Bakery,25
2024-01-02,P006,Soft Drinks,Beverages,31
2024-01-02,P007,Sweets,Confectionery,19
2024-01-02,P008,Snacks,Packaged Foods,30
2024-01-03,P001,Rice,Staples,46
2024-01-03,P002,Milk,Dairy,32
2024-01-03,P003,Biscuits,Packaged Foods,32
2024-01-03,P004,Cooking Oil,Cooking Essentials,20
2024-01-03,P005,Bread,Bakery,25
2024-01-03,P006,Soft Drinks,Beverages,26
2024-01-03,P007,Sweets,Confectionery,20
2024-01-03,P008,Snacks,Packaged Foods,32
2024-01-04,P001,Rice,Staples,43
2024-01-04,P002,Milk,Dairy,34
2024-01-04,P003,Biscuits,Packaged Foods,31
2024-01-04,P004,Cooking Oil,Cooking Essentials,21
2024-01-04,P005,Bread,Bakery,26
2024-01-04,P006,Soft Drinks,Beverages,29
2024-01-04,P007,Sweets,Confectionery,21
2024-01-04,P008,Snacks,Packaged Foods,31
2024-01-05,P001,Rice,Staples,43
2024-01-05,P002,Milk,Dairy,33
2024-01-05,P003,Biscuits,Packaged Foods,31
2024-01-05,P004,Cooking Oil,Cooking Essentials,22
2024-01-05,P005,Bread,Bakery,25
2024-01-05,P006,Soft Drinks,Beverages,26
2024-01-05,P007,Sweets,Confectionery,17
2024-01-05,P008,Snacks,Packaged Foods,34
2024-01-06,P001,Rice,Staples,52
2024-01-06,P002,Milk,Dairy,38
2024-01-06,P003,Biscuits,Packaged Foods,34
2024-01-06,P004,Cooking Oil,Cooking Essentials,22
2024-01-06,P005,Bread,Bakery,29
2024-01-06,P006,Soft Drinks,Beverages,37
2024-01-06,P007,Sweets,Confectionery,24
2024-01-06,P008,Snacks,Packaged Foods,41
2024-01-07,P001,Rice,Staples,52
2024-01-07,P002,Milk,Dairy,37
2024-01-07,P003,Biscuits,Packaged Foods,37
2024-01-07,P004,Cooking Oil,Cooking Essentials,23
2024-01-07,P005,Bread,Bakery,26
2024-01-07,P006,Soft Drinks,Beverages,36
2024-01-07,P007,Sweets,Confectionery,22
2024-01-07,P008,Snacks,Packaged Foods,38
2024-01-08,P001,Rice,Staples,44
2024-01-08,P002,Milk,Dairy,39
2024-01-08,P003,Biscuits,Packaged Foods,28
2024-01-08,P004,Cooking Oil,Cooking Essentials,22
2024-01-08,P005,Bread,Bakery,22
2024-01-08,P006,Soft Drinks,Beverages,27
2024-01-08,P007,Sweets,Confectionery,18
2024-01-08,P008,Snacks,Packaged Foods,34
2024-01-09,P001,Rice,Staples,48
2024-01-09,P002,Milk,Dairy,37
2024-01-09,P003,Biscuits,Packaged Foods,29
2024-01-09,P004,Cooking Oil,Cooking Essentials,19
2024-01-09,P005,Bread,Bakery,27
2024-01-09,P006,Soft Drinks,Beverages,28
2024-01-09,P007,Sweets,Confectionery,16
2024-01-09,P008,Snacks,Packaged Foods,29
2024-01-10,P001,Rice,Staples,42
2024-01-10,P002,Milk,Dairy,36
2024-01-10,P003,Biscuits,Packaged Foods,30
2024-01-10,P004,Cooking Oil,Cooking Essentials,21
2024-01-10,P005,Bread,Bakery,24
2024-01-10,P006,Soft Drinks,Beverages,28
2024-01-10,P007,Sweets,Confectionery,19
2024-01-10,P008,Snacks,Packaged Foods,31
